Geography,HOUSE UNIT
0500000US20095,3665
0500000US20097,1167
0500000US20099,9580
0500000US20101,878
0500000US20103,30951
0500000US20105,1696
0500000US20107,5112
0500000US20109,1378
0500000US20111,14985
0500000US20113,13045
0500000US20115,5713
0500000US20117,4793
0500000US20119,1895
0500000US20121,13794
0500000US20123,3148
0500000US20125,15683
0500000US20127,3022
0500000US20129,1334
0500000US20131,4495
0500000US20133,7291
0500000US20135,1511
0500000US20137,2467
0500000US20139,7266
0500000US20141,2062
0500000US20143,2677
0500000US20145,3067
0500000US20147,2831
0500000US20149,9770
0500000US20151,4397
0500000US20153,1371
0500000US20155,28306
0500000US20157,2697
0500000US20159,4397
0500000US20161,30545
0500000US20163,2653
0500000US20165,1674
0500000US20167,3701
0500000US20169,24092
0500000US20171,2241
0500000US20173,222437
0500000US20175,8255
0500000US20177,80491
0500000US20179,1163
0500000US20181,2964
0500000US20183,2056
0500000US20185,2108
0500000US20187,1008
0500000US20189,2249
0500000US20191,10388
0500000US20193,3568
0500000US20195,1674
0500000US20197,3131
0500000US20199,761
0500000US20201,2742
0500000US20203,1016
0500000US20205,4502
0500000US20207,1854
0500000US20209,68345
0500000US21001,8598
0500000US21003,9224
0500000US21005,9945
0500000US21007,3709
0500000US21009,19733
0500000US21011,5441
0500000US21013,11705
0500000US21015,51044
0500000US21017,9106
0500000US21019,21746
0500000US21021,12879
0500000US21023,3834
0500000US21025,6528
0500000US21027,10712
0500000US21029,32418
0500000US21031,5481
0500000US21033,6107
0500000US21035,17980
0500000US21037,41165
0500000US21039,2316
0500000US21041,4673
0500000US21043,12235
0500000US21045,7390
0500000US21047,29270
0500000US21049,16063
0500000US21051,8629
0500000US21053,4900
0500000US21055,4366
0500000US21057,3412
0500000US21059,43712
0500000US21061,6381
0500000US21063,3067
0500000US21065,6832
0500000US21067,145092
0500000US21069,6727
0500000US21071,17466
0500000US21073,23899
0500000US21075,3198
0500000US21077,3703
0500000US21079,7280
0500000US21081,10050
0500000US21083,16520
0500000US21085,13324
0500000US21087,5272
0500000US21089,16268
0500000US21091,3880
0500000US21093,46589
0500000US21095,13031
0500000US21097,8073
0500000US21099,8813
0500000US21101,20105
0500000US21103,6626
0500000US21105,2173
0500000US21107,20942
0500000US21109,6022
0500000US21111,354062
0500000US21113,20542
0500000US21115,10499
0500000US21117,72210
0500000US21119,6746
0500000US21121,13832
0500000US21123,6449
0500000US21125,26450
0500000US21127,7508
0500000US21129,3240
0500000US21131,4926
0500000US21133,10665
0500000US21135,6087
0500000US21137,10782
0500000US21139,4623
0500000US21141,12458
0500000US21143,4786
0500000US21145,32044
0500000US21147,6966
0500000US21149,4174
0500000US21151,38882
0500000US21153,5474
0500000US21155,8332
0500000US21157,16317
0500000US21159,4840
0500000US21161,8174
0500000US21163,11967
0500000US21165,3375
0500000US21167,10317
0500000US21169,4694
0500000US21171,5231
0500000US21173,12067
0500000US21175,5637
0500000US21177,13524
